cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;211,04;24022024;401;0,09;VALE3;Normal;25;26012024;2024-08-13
V;Futuro;175,94;24022024;394;0,07;SUZB3;Normal;25;26012024;2024-08-13
V;Futuro;369,57;21022024;270;0,02;VVAR3;Normal;25;26012024;2024-08-13
V;Futuro;129,74;25022024;45;0,05;CIEL3;Normal;25;26012024;2024-08-13
V;Futuro;269,38;23022024;1;0,03;GGBR4;Normal;25;26012024;2024-08-13
C;Futuro;243,01;20022024;428;0,06;SUZB3;Normal;25;26012024;2024-08-13
C;Futuro;125,22;23022024;131;0,07;WEGE3;Normal;25;26012024;2024-08-13
V;Futuro;145,46;25022024;16;0,01;B3SA3;Normal;25;26012024;2024-08-13
V;Futuro;311,54;29022024;338;0,04;ENBR3;Normal;25;26012024;2024-08-13
C;Futuro;430,08;25022024;284;0,02;WEGE3;Normal;25;26012024;2024-08-13
V;Futuro;271,87;28022024;154;0,07;ITUB4;Normal;25;26012024;2024-08-13
V;Futuro;214,44;28022024;207;0,07;VVAR3;Normal;25;26012024;2024-08-13
V;Futuro;400,23;01032024;408;0,06;B3SA3;Normal;25;26012024;2024-08-13
C;Futuro;74,62;20022024;226;0,04;JBSS3;Normal;25;26012024;2024-08-13
V;Futuro;286,99;01032024;280;0,06;BBAS3;Normal;25;26012024;2024-08-13
