cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;496,91;05022024;302;0,06;EGIE3;Normal;9;10012024;2024-08-13
C;Futuro;269,7;10022024;51;0,03;CIEL3;Normal;9;10012024;2024-08-13
C;Futuro;189,12;04022024;441;0,06;PETR4;Normal;9;10012024;2024-08-13
V;Futuro;55,74;05022024;245;0,01;VVAR3;Normal;9;10012024;2024-08-13
V;Futuro;411,8;08022024;113;0,03;PETR4;Normal;9;10012024;2024-08-13
C;Futuro;50,43;11022024;177;0,09;MGLU3;Normal;9;10012024;2024-08-13
V;Futuro;308,36;06022024;299;0,06;GGBR4;Normal;9;10012024;2024-08-13
C;Futuro;456,98;06022024;47;0,05;BBAS3;Normal;9;10012024;2024-08-13
C;Futuro;448,86;06022024;384;0,02;VALE3;Normal;9;10012024;2024-08-13
V;Futuro;463,4;13022024;275;0,05;B3SA3;Normal;9;10012024;2024-08-13
V;Futuro;92,87;05022024;404;0,08;ITUB4;Normal;9;10012024;2024-08-13
V;Futuro;318,87;04022024;466;0,01;VVAR3;Normal;9;10012024;2024-08-13
V;Futuro;472,82;06022024;351;0,04;JBSS3;Normal;9;10012024;2024-08-13
V;Futuro;357,51;11022024;235;0,05;MGLU3;Normal;9;10012024;2024-08-13
C;Futuro;403,48;14022024;36;0,01;PETR4;Normal;9;10012024;2024-08-13
