cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;05032024;45;0,07;B3SA3;224,28;29;30012024;2024-08-13
C;Futuro;Normal;29022024;476;0,08;BBDC4;214,49;29;30012024;2024-08-13
V;Futuro;Normal;28022024;434;0,05;VALE3;177,8;29;30012024;2024-08-13
C;Futuro;Normal;26022024;412;0,09;ENBR3;214,1;29;30012024;2024-08-13
C;Futuro;Normal;25022024;69;0,03;MGLU3;460,41;29;30012024;2024-08-13
C;Futuro;Normal;28022024;25;0,08;ENBR3;222,3;29;30012024;2024-08-13
C;Futuro;Normal;04032024;210;0,03;B3SA3;263,42;29;30012024;2024-08-13
V;Futuro;Normal;02032024;60;0,08;SUZB3;163,25;29;30012024;2024-08-13
C;Futuro;Normal;29022024;494;0,05;ITUB4;128;29;30012024;2024-08-13
C;Futuro;Normal;05032024;173;0,08;EGIE3;93,64;29;30012024;2024-08-13
C;Futuro;Normal;24022024;270;0,03;BBDC4;270,21;29;30012024;2024-08-13
V;Futuro;Normal;02032024;11;0,01;SUZB3;426,25;29;30012024;2024-08-13
C;Futuro;Normal;29022024;273;0,05;VALE3;243,53;29;30012024;2024-08-13
C;Futuro;Normal;05032024;160;0;WEGE3;202,1;29;30012024;2024-08-13
C;Futuro;Normal;05032024;250;0,09;JBSS3;274,54;29;30012024;2024-08-13
V;Futuro;Normal;04032024;442;0,1;ITUB4;209,74;29;30012024;2024-08-13
