cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;20022024;477;0,08;MGLU3;292,77;17;18012024;2024-08-13
V;Futuro;Normal;16022024;133;0,03;BBAS3;255,64;17;18012024;2024-08-13
V;Futuro;Normal;12022024;279;0,03;CIEL3;238,98;17;18012024;2024-08-13
V;Futuro;Normal;13022024;156;0,03;EGIE3;291,25;17;18012024;2024-08-13
V;Futuro;Normal;21022024;182;0,05;VALE3;310,98;17;18012024;2024-08-13
C;Futuro;Normal;21022024;161;0,08;PETR4;179,25;17;18012024;2024-08-13
C;Futuro;Normal;13022024;384;0,09;BBDC4;150,06;17;18012024;2024-08-13
V;Futuro;Normal;15022024;322;0,04;B3SA3;81,24;17;18012024;2024-08-13
C;Futuro;Normal;12022024;339;0,04;BBDC4;146,58;17;18012024;2024-08-13
C;Futuro;Normal;20022024;465;0,05;LREN3;419,12;17;18012024;2024-08-13
C;Futuro;Normal;18022024;473;0,05;BBAS3;279,69;17;18012024;2024-08-13
V;Futuro;Normal;20022024;117;0,08;WEGE3;283,43;17;18012024;2024-08-13
V;Futuro;Normal;14022024;428;0,07;RENT3;214,81;17;18012024;2024-08-13
V;Futuro;Normal;14022024;368;0;RENT3;90,84;17;18012024;2024-08-13
C;Futuro;Normal;12022024;429;0;PETR4;407,26;17;18012024;2024-08-13
C;Futuro;Normal;18022024;219;0,1;VALE3;167,06;17;18012024;2024-08-13
