cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;03022024;158;0,07;JBSS3;486,1;4;05012024;2024-08-13
C;Futuro;Normal;09022024;194;0,06;CSNA3;141,18;4;05012024;2024-08-13
C;Futuro;Normal;04022024;322;0,06;PETR4;323,74;4;05012024;2024-08-13
V;Futuro;Normal;07022024;119;0,08;BRFS3;178,48;4;05012024;2024-08-13
C;Futuro;Normal;02022024;346;0,01;BBDC4;482,35;4;05012024;2024-08-13
V;Futuro;Normal;02022024;144;0,03;BBDC4;60,35;4;05012024;2024-08-13
V;Futuro;Normal;30012024;328;0,03;BRFS3;193,4;4;05012024;2024-08-13
C;Futuro;Normal;07022024;9;0,01;GGBR4;363,6;4;05012024;2024-08-13
V;Futuro;Normal;01022024;459;0,04;B3SA3;428,19;4;05012024;2024-08-13
V;Futuro;Normal;08022024;246;0,07;ITUB4;146,58;4;05012024;2024-08-13
C;Futuro;Normal;09022024;325;0,1;MGLU3;182,66;4;05012024;2024-08-13
C;Futuro;Normal;06022024;468;0,02;VVAR3;383,75;4;05012024;2024-08-13
C;Futuro;Normal;09022024;172;0,01;ENBR3;213,56;4;05012024;2024-08-13
