cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;03032024;330;0,04;CSNA3;490,39;30;31012024;2024-08-13
V;Futuro;Normal;27022024;97;0,03;LREN3;75,31;30;31012024;2024-08-13
V;Futuro;Normal;25022024;368;0,03;CSNA3;110,22;30;31012024;2024-08-13
V;Futuro;Normal;26022024;344;0,03;CSNA3;198,42;30;31012024;2024-08-13
V;Futuro;Normal;25022024;29;0,04;ABEV3;246,59;30;31012024;2024-08-13
V;Futuro;Normal;25022024;224;0,03;ABEV3;439,35;30;31012024;2024-08-13
C;Futuro;Normal;03032024;355;0,07;CSNA3;284,37;30;31012024;2024-08-13
C;Futuro;Normal;29022024;4;0,06;VALE3;165,45;30;31012024;2024-08-13
V;Futuro;Normal;03032024;264;0,03;EGIE3;299,92;30;31012024;2024-08-13
V;Futuro;Normal;29022024;185;0,01;BBAS3;493,69;30;31012024;2024-08-13
V;Futuro;Normal;05032024;293;0,08;ITUB4;312,04;30;31012024;2024-08-13
C;Futuro;Normal;04032024;312;0,08;BBAS3;91,31;30;31012024;2024-08-13
V;Futuro;Normal;27022024;484;0,08;GGBR4;320,92;30;31012024;2024-08-13
V;Futuro;Normal;02032024;130;0,08;JBSS3;279,84;30;31012024;2024-08-13
V;Futuro;Normal;26022024;462;0,01;WEGE3;299,98;30;31012024;2024-08-13
C;Futuro;Normal;25022024;102;0,09;ENBR3;387,64;30;31012024;2024-08-13
