cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;163,99;07022024;250;0,02;MGLU3;Normal;12;13012024;2024-08-13
V;Futuro;222,71;12022024;191;0,01;CIEL3;Normal;12;13012024;2024-08-13
V;Futuro;331,59;14022024;347;0,06;GGBR4;Normal;12;13012024;2024-08-13
C;Futuro;81,22;17022024;258;0,09;MGLU3;Normal;12;13012024;2024-08-13
V;Futuro;302,47;08022024;53;0,08;CIEL3;Normal;12;13012024;2024-08-13
V;Futuro;454,26;13022024;285;0,03;SUZB3;Normal;12;13012024;2024-08-13
V;Futuro;328,04;09022024;90;0,06;SUZB3;Normal;12;13012024;2024-08-13
C;Futuro;197,21;12022024;270;0,01;LREN3;Normal;12;13012024;2024-08-13
V;Futuro;356,08;12022024;419;0,06;ABEV3;Normal;12;13012024;2024-08-13
V;Futuro;159,51;08022024;450;0,08;PETR4;Normal;12;13012024;2024-08-13
V;Futuro;252;08022024;83;0,09;VALE3;Normal;12;13012024;2024-08-13
V;Futuro;491,5;11022024;103;0,05;LREN3;Normal;12;13012024;2024-08-13
