cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;233,95;30012024;455;0,05;SUZB3;Normal;1;02012024;2024-08-13
C;Futuro;133,57;28012024;176;0,06;ENBR3;Normal;1;02012024;2024-08-13
V;Futuro;182,48;27012024;112;0,08;LREN3;Normal;1;02012024;2024-08-13
C;Futuro;326,58;27012024;31;0,03;CSNA3;Normal;1;02012024;2024-08-13
C;Futuro;257,22;04022024;118;0,09;B3SA3;Normal;1;02012024;2024-08-13
V;Futuro;91,1;06022024;402;0,09;BRFS3;Normal;1;02012024;2024-08-13
V;Futuro;95,38;30012024;285;0,09;CSNA3;Normal;1;02012024;2024-08-13
C;Futuro;178,22;30012024;72;0,03;BBDC4;Normal;1;02012024;2024-08-13
C;Futuro;230,68;31012024;112;0,02;B3SA3;Normal;1;02012024;2024-08-13
C;Futuro;388,1;03022024;265;0,05;B3SA3;Normal;1;02012024;2024-08-13
V;Futuro;496,33;30012024;358;0,08;BBAS3;Normal;1;02012024;2024-08-13
C;Futuro;239,52;01022024;113;0,04;WEGE3;Normal;1;02012024;2024-08-13
