cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;66,02;04032024;58;0,05;ABEV3;Normal;29;30012024;2024-08-13
V;Futuro;477,8;03032024;392;0,05;BBDC4;Normal;29;30012024;2024-08-13
C;Futuro;355,67;27022024;2;0,05;WEGE3;Normal;29;30012024;2024-08-13
V;Futuro;438,37;25022024;373;0,06;VVAR3;Normal;29;30012024;2024-08-13
C;Futuro;142,79;29022024;403;0,02;ABEV3;Normal;29;30012024;2024-08-13
C;Futuro;482,27;04032024;13;0;BBDC4;Normal;29;30012024;2024-08-13
V;Futuro;160,55;02032024;342;0,08;ITUB4;Normal;29;30012024;2024-08-13
V;Futuro;59,02;04032024;484;0,04;WEGE3;Normal;29;30012024;2024-08-13
C;Futuro;67,5;27022024;318;0,06;SUZB3;Normal;29;30012024;2024-08-13
V;Futuro;439,01;29022024;499;0,09;BBAS3;Normal;29;30012024;2024-08-13
