cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;432,08;21022024;90;0,01;BRFS3;Normal;18;19012024;2024-08-13
C;Futuro;51,69;16022024;273;0,02;LREN3;Normal;18;19012024;2024-08-13
C;Futuro;479,49;18022024;29;0,05;VVAR3;Normal;18;19012024;2024-08-13
C;Futuro;248,28;20022024;176;0,06;RENT3;Normal;18;19012024;2024-08-13
C;Futuro;55,49;16022024;17;0,08;MGLU3;Normal;18;19012024;2024-08-13
V;Futuro;216,73;19022024;200;0,05;CIEL3;Normal;18;19012024;2024-08-13
C;Futuro;118,09;20022024;239;0,05;WEGE3;Normal;18;19012024;2024-08-13
C;Futuro;427,82;20022024;475;0;B3SA3;Normal;18;19012024;2024-08-13
C;Futuro;366,56;21022024;488;0,05;CSNA3;Normal;18;19012024;2024-08-13
C;Futuro;63,79;18022024;409;0,02;CIEL3;Normal;18;19012024;2024-08-13
C;Futuro;378,37;19022024;395;0,03;SUZB3;Normal;18;19012024;2024-08-13
V;Futuro;446,86;15022024;346;0,04;PETR4;Normal;18;19012024;2024-08-13
V;Futuro;266,37;21022024;325;0,06;SUZB3;Normal;18;19012024;2024-08-13
C;Futuro;52,15;23022024;93;0,01;SUZB3;Normal;18;19012024;2024-08-13
