cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;121,92;07022024;269;0,03;WEGE3;Normal;7;08012024;2024-08-13
V;Futuro;145,08;03022024;29;0,03;RENT3;Normal;7;08012024;2024-08-13
C;Futuro;315,67;02022024;247;0,02;BBDC4;Normal;7;08012024;2024-08-13
C;Futuro;365,7;07022024;455;0,06;MGLU3;Normal;7;08012024;2024-08-13
C;Futuro;247,71;09022024;439;0,01;PETR4;Normal;7;08012024;2024-08-13
V;Futuro;319,99;08022024;13;0,04;ABEV3;Normal;7;08012024;2024-08-13
V;Futuro;227,97;06022024;27;0,01;BRFS3;Normal;7;08012024;2024-08-13
C;Futuro;470,5;06022024;143;0,09;BBDC4;Normal;7;08012024;2024-08-13
C;Futuro;290,88;07022024;282;0,04;RENT3;Normal;7;08012024;2024-08-13
C;Futuro;301,81;10022024;148;0,02;B3SA3;Normal;7;08012024;2024-08-13
V;Futuro;74,88;09022024;176;0,04;WEGE3;Normal;7;08012024;2024-08-13
C;Futuro;464,3;08022024;392;0,05;WEGE3;Normal;7;08012024;2024-08-13
V;Futuro;431,73;05022024;171;0,08;WEGE3;Normal;7;08012024;2024-08-13
V;Futuro;408,97;05022024;339;0,02;PETR4;Normal;7;08012024;2024-08-13
