cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;56,9;02022024;393;0,09;WEGE3;Normal;2;03012024;2024-08-13
V;Futuro;212,63;31012024;409;0,03;CIEL3;Normal;2;03012024;2024-08-13
V;Futuro;437,3;02022024;296;0,08;BRFS3;Normal;2;03012024;2024-08-13
C;Futuro;285,83;31012024;91;0,02;ABEV3;Normal;2;03012024;2024-08-13
V;Futuro;74,94;06022024;280;0,01;BRFS3;Normal;2;03012024;2024-08-13
V;Futuro;222,07;01022024;311;0,01;BRFS3;Normal;2;03012024;2024-08-13
V;Futuro;103,57;05022024;40;0,06;VVAR3;Normal;2;03012024;2024-08-13
V;Futuro;254,78;29012024;174;0,06;PETR4;Normal;2;03012024;2024-08-13
V;Futuro;288,99;29012024;110;0,04;VVAR3;Normal;2;03012024;2024-08-13
V;Futuro;375,43;30012024;481;0;VVAR3;Normal;2;03012024;2024-08-13
C;Futuro;74,04;06022024;75;0,03;RENT3;Normal;2;03012024;2024-08-13
