cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;390,44;25022024;454;0,08;BBAS3;Normal;23;24012024;2024-08-13
V;Futuro;417,26;25022024;202;0,03;LREN3;Normal;23;24012024;2024-08-13
C;Futuro;259,47;27022024;26;0,08;CSNA3;Normal;23;24012024;2024-08-13
V;Futuro;413,31;25022024;352;0,05;VVAR3;Normal;23;24012024;2024-08-13
V;Futuro;371,28;25022024;146;0,01;ITUB4;Normal;23;24012024;2024-08-13
C;Futuro;133,24;19022024;77;0;BRFS3;Normal;23;24012024;2024-08-13
V;Futuro;348,05;19022024;387;0,09;WEGE3;Normal;23;24012024;2024-08-13
V;Futuro;121,85;22022024;162;0,06;B3SA3;Normal;23;24012024;2024-08-13
C;Futuro;458,82;22022024;424;0,02;EGIE3;Normal;23;24012024;2024-08-13
C;Futuro;291,56;28022024;458;0,08;JBSS3;Normal;23;24012024;2024-08-13
