cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;249,56;25022024;364;0,02;MGLU3;Normal;28;29012024;2024-08-13
V;Futuro;51,21;01032024;146;0,04;CIEL3;Normal;28;29012024;2024-08-13
C;Futuro;53,1;04032024;233;0,03;ITUB4;Normal;28;29012024;2024-08-13
V;Futuro;360,9;25022024;74;0,05;VVAR3;Normal;28;29012024;2024-08-13
V;Futuro;307,89;23022024;201;0;MGLU3;Normal;28;29012024;2024-08-13
C;Futuro;380,72;24022024;222;0,09;GGBR4;Normal;28;29012024;2024-08-13
V;Futuro;410,71;28022024;33;0,04;PETR4;Normal;28;29012024;2024-08-13
C;Futuro;276,03;26022024;459;0,03;PETR4;Normal;28;29012024;2024-08-13
C;Futuro;150,81;24022024;116;0,02;BRFS3;Normal;28;29012024;2024-08-13
V;Futuro;378,74;24022024;265;0,07;WEGE3;Normal;28;29012024;2024-08-13
V;Futuro;75,26;03032024;294;0,04;CIEL3;Normal;28;29012024;2024-08-13
C;Futuro;379,67;04032024;457;0,07;EGIE3;Normal;28;29012024;2024-08-13
