cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;13022024;285;0,04;CSNA3;387,98;16;17012024;2024-08-13
C;Futuro;Normal;12022024;156;0,02;BBAS3;75,46;16;17012024;2024-08-13
V;Futuro;Normal;20022024;118;0,05;B3SA3;276,34;16;17012024;2024-08-13
V;Futuro;Normal;14022024;187;0,03;LREN3;262,64;16;17012024;2024-08-13
C;Futuro;Normal;15022024;393;0,03;ITUB4;206,2;16;17012024;2024-08-13
C;Futuro;Normal;11022024;500;0,03;EGIE3;226,55;16;17012024;2024-08-13
C;Futuro;Normal;14022024;63;0,04;PETR4;297,99;16;17012024;2024-08-13
C;Futuro;Normal;15022024;364;0;PETR4;120,15;16;17012024;2024-08-13
V;Futuro;Normal;15022024;231;0,07;EGIE3;59,72;16;17012024;2024-08-13
C;Futuro;Normal;14022024;391;0,04;PETR4;288,08;16;17012024;2024-08-13
V;Futuro;Normal;13022024;456;0,04;MGLU3;400,3;16;17012024;2024-08-13
C;Futuro;Normal;18022024;261;0,09;EGIE3;117,05;16;17012024;2024-08-13
C;Futuro;Normal;14022024;344;0,09;JBSS3;330,5;16;17012024;2024-08-13
V;Futuro;Normal;11022024;489;0;SUZB3;261,09;16;17012024;2024-08-13
C;Futuro;Normal;11022024;133;0,06;CSNA3;437,38;16;17012024;2024-08-13
C;Futuro;Normal;13022024;468;0;B3SA3;413,69;16;17012024;2024-08-13
