cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;146,71;17022024;85;0,04;B3SA3;Normal;20;21012024;2024-08-13
V;Futuro;499,92;24022024;273;0;CIEL3;Normal;20;21012024;2024-08-13
C;Futuro;239,5;20022024;142;0,03;ITUB4;Normal;20;21012024;2024-08-13
V;Futuro;87,57;18022024;96;0,01;RENT3;Normal;20;21012024;2024-08-13
V;Futuro;314,07;24022024;102;0,02;CSNA3;Normal;20;21012024;2024-08-13
V;Futuro;354,53;18022024;466;0,1;EGIE3;Normal;20;21012024;2024-08-13
C;Futuro;496,7;16022024;113;0,04;LREN3;Normal;20;21012024;2024-08-13
V;Futuro;431,35;18022024;353;0,1;B3SA3;Normal;20;21012024;2024-08-13
V;Futuro;278,12;18022024;44;0,07;ITUB4;Normal;20;21012024;2024-08-13
V;Futuro;316,47;23022024;252;0,02;ABEV3;Normal;20;21012024;2024-08-13
C;Futuro;156,67;16022024;71;0,09;GGBR4;Normal;20;21012024;2024-08-13
V;Futuro;135,26;18022024;182;0,06;ABEV3;Normal;20;21012024;2024-08-13
