cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;421,73;19022024;427;0,03;B3SA3;Normal;22;23012024;2024-08-13
C;Futuro;176,27;26022024;233;0,1;ENBR3;Normal;22;23012024;2024-08-13
V;Futuro;482,98;25022024;482;0,04;PETR4;Normal;22;23012024;2024-08-13
C;Futuro;382,84;17022024;186;0,01;ABEV3;Normal;22;23012024;2024-08-13
C;Futuro;397,77;19022024;457;0,02;VALE3;Normal;22;23012024;2024-08-13
V;Futuro;168,43;25022024;82;0,09;JBSS3;Normal;22;23012024;2024-08-13
V;Futuro;256,02;26022024;495;0,06;JBSS3;Normal;22;23012024;2024-08-13
V;Futuro;408,05;18022024;84;0,08;ABEV3;Normal;22;23012024;2024-08-13
C;Futuro;406,36;25022024;388;0,03;BBDC4;Normal;22;23012024;2024-08-13
V;Futuro;319,65;25022024;105;0,03;ITUB4;Normal;22;23012024;2024-08-13
