cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;28022024;141;0,08;EGIE3;440,6;27;28012024;2024-08-13
C;Futuro;Normal;01032024;486;0,06;ENBR3;55,54;27;28012024;2024-08-13
C;Futuro;Normal;23022024;420;0,05;VVAR3;316,02;27;28012024;2024-08-13
V;Futuro;Normal;03032024;131;0,07;EGIE3;287,9;27;28012024;2024-08-13
V;Futuro;Normal;23022024;397;0,01;JBSS3;369,99;27;28012024;2024-08-13
V;Futuro;Normal;26022024;314;0,03;ITUB4;87,15;27;28012024;2024-08-13
V;Futuro;Normal;24022024;8;0,04;EGIE3;248,46;27;28012024;2024-08-13
C;Futuro;Normal;23022024;465;0,03;CIEL3;443,83;27;28012024;2024-08-13
V;Futuro;Normal;26022024;231;0,1;LREN3;232,3;27;28012024;2024-08-13
V;Futuro;Normal;01032024;208;0,07;VALE3;292,11;27;28012024;2024-08-13
C;Futuro;Normal;28022024;125;0,01;ITUB4;155,9;27;28012024;2024-08-13
C;Futuro;Normal;01032024;369;0,09;EGIE3;474;27;28012024;2024-08-13
C;Futuro;Normal;23022024;485;0,01;VALE3;328,58;27;28012024;2024-08-13
C;Futuro;Normal;27022024;174;0,05;WEGE3;200,7;27;28012024;2024-08-13
V;Futuro;Normal;26022024;135;0,04;BRFS3;453,35;27;28012024;2024-08-13
V;Futuro;Normal;22022024;182;0,04;VALE3;376,24;27;28012024;2024-08-13
