cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;20022024;293;0,07;B3SA3;139,47;21;22012024;2024-08-13
V;Futuro;Normal;26022024;282;0,03;B3SA3;144,64;21;22012024;2024-08-13
V;Futuro;Normal;17022024;395;0,08;B3SA3;349,74;21;22012024;2024-08-13
C;Futuro;Normal;19022024;407;0,01;GGBR4;182,08;21;22012024;2024-08-13
V;Futuro;Normal;18022024;291;0;SUZB3;488,22;21;22012024;2024-08-13
C;Futuro;Normal;24022024;284;0,05;BRFS3;390,43;21;22012024;2024-08-13
C;Futuro;Normal;17022024;4;0,01;MGLU3;118,15;21;22012024;2024-08-13
V;Futuro;Normal;19022024;364;0,02;BRFS3;84,04;21;22012024;2024-08-13
V;Futuro;Normal;16022024;493;0,05;B3SA3;426,38;21;22012024;2024-08-13
C;Futuro;Normal;25022024;311;0,01;B3SA3;274,95;21;22012024;2024-08-13
V;Futuro;Normal;18022024;488;0,05;ABEV3;437,26;21;22012024;2024-08-13
V;Futuro;Normal;18022024;157;0,03;BRFS3;195,02;21;22012024;2024-08-13
V;Futuro;Normal;19022024;391;0,05;BBAS3;290,55;21;22012024;2024-08-13
V;Futuro;Normal;22022024;356;0,01;ITUB4;214,1;21;22012024;2024-08-13
C;Futuro;Normal;20022024;334;0,1;GGBR4;156,04;21;22012024;2024-08-13
C;Futuro;Normal;26022024;385;0,08;SUZB3;309,05;21;22012024;2024-08-13
