cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;10022024;420;0,06;BBDC4;117,47;15;16012024;2024-08-13
C;Futuro;Normal;12022024;456;0,1;ABEV3;403,54;15;16012024;2024-08-13
C;Futuro;Normal;15022024;349;0,09;ABEV3;312,12;15;16012024;2024-08-13
C;Futuro;Normal;14022024;493;0,02;CIEL3;400,41;15;16012024;2024-08-13
C;Futuro;Normal;16022024;227;0,09;VVAR3;391,57;15;16012024;2024-08-13
C;Futuro;Normal;17022024;14;0,07;VALE3;52,4;15;16012024;2024-08-13
V;Futuro;Normal;16022024;458;0,09;VALE3;231,33;15;16012024;2024-08-13
C;Futuro;Normal;10022024;408;0,04;MGLU3;233,65;15;16012024;2024-08-13
V;Futuro;Normal;16022024;440;0,04;EGIE3;233,18;15;16012024;2024-08-13
V;Futuro;Normal;12022024;266;0,05;SUZB3;360,65;15;16012024;2024-08-13
V;Futuro;Normal;13022024;160;0,1;ABEV3;211,78;15;16012024;2024-08-13
C;Futuro;Normal;10022024;128;0,06;PETR4;72,09;15;16012024;2024-08-13
V;Futuro;Normal;12022024;424;0,1;ENBR3;368,77;15;16012024;2024-08-13
C;Futuro;Normal;10022024;357;0,07;EGIE3;374,71;15;16012024;2024-08-13
C;Futuro;Normal;20022024;22;0,08;CIEL3;147,74;15;16012024;2024-08-13
V;Futuro;Normal;18022024;326;0,06;ITUB4;262,5;15;16012024;2024-08-13
