cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;60,05;21022024;137;0,06;CSNA3;Normal;16;17012024;2024-08-13
C;Futuro;104,87;11022024;489;0,03;BBAS3;Normal;16;17012024;2024-08-13
C;Futuro;414,06;17022024;430;0;BBDC4;Normal;16;17012024;2024-08-13
C;Futuro;289,26;14022024;25;0,03;JBSS3;Normal;16;17012024;2024-08-13
C;Futuro;380,9;16022024;121;0,04;CSNA3;Normal;16;17012024;2024-08-13
C;Futuro;84,6;17022024;405;0,02;JBSS3;Normal;16;17012024;2024-08-13
C;Futuro;389,7;11022024;265;0,06;VVAR3;Normal;16;17012024;2024-08-13
C;Futuro;201,12;13022024;411;0,09;ABEV3;Normal;16;17012024;2024-08-13
C;Futuro;223,33;12022024;495;0,06;PETR4;Normal;16;17012024;2024-08-13
V;Futuro;76,96;11022024;101;0,09;ENBR3;Normal;16;17012024;2024-08-13
C;Futuro;281,1;21022024;372;0,06;SUZB3;Normal;16;17012024;2024-08-13
C;Futuro;390,2;13022024;9;0,09;RENT3;Normal;16;17012024;2024-08-13
