cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;123,84;02022024;321;0,05;VVAR3;Normal;3;04012024;2024-08-13
C;Futuro;55,59;31012024;74;0,06;BBAS3;Normal;3;04012024;2024-08-13
V;Futuro;393,34;06022024;384;0,05;EGIE3;Normal;3;04012024;2024-08-13
V;Futuro;390,64;07022024;418;0,05;VVAR3;Normal;3;04012024;2024-08-13
C;Futuro;445,27;30012024;247;0,08;SUZB3;Normal;3;04012024;2024-08-13
C;Futuro;325,41;02022024;346;0,01;BBAS3;Normal;3;04012024;2024-08-13
C;Futuro;261,33;03022024;240;0,01;EGIE3;Normal;3;04012024;2024-08-13
C;Futuro;232,7;03022024;60;0,08;PETR4;Normal;3;04012024;2024-08-13
C;Futuro;187,08;06022024;470;0,03;LREN3;Normal;3;04012024;2024-08-13
V;Futuro;139,3;06022024;433;0,05;GGBR4;Normal;3;04012024;2024-08-13
V;Futuro;355,34;02022024;336;0,04;B3SA3;Normal;3;04012024;2024-08-13
V;Futuro;446,74;07022024;170;0,04;EGIE3;Normal;3;04012024;2024-08-13
V;Futuro;411,55;30012024;490;0,07;ABEV3;Normal;3;04012024;2024-08-13
C;Futuro;198,45;05022024;435;0,07;BBDC4;Normal;3;04012024;2024-08-13
