cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;05022024;437;0,04;WEGE3;309,97;9;10012024;2024-08-13
V;Futuro;Normal;11022024;224;0,05;WEGE3;338,41;9;10012024;2024-08-13
V;Futuro;Normal;08022024;287;0;SUZB3;206,16;9;10012024;2024-08-13
C;Futuro;Normal;06022024;325;0,05;BBAS3;229,95;9;10012024;2024-08-13
V;Futuro;Normal;09022024;221;0,05;B3SA3;330,78;9;10012024;2024-08-13
C;Futuro;Normal;08022024;15;0,07;ENBR3;295,61;9;10012024;2024-08-13
C;Futuro;Normal;11022024;209;0,09;ITUB4;87,97;9;10012024;2024-08-13
V;Futuro;Normal;08022024;100;0,02;EGIE3;471;9;10012024;2024-08-13
V;Futuro;Normal;09022024;362;0,09;WEGE3;106,99;9;10012024;2024-08-13
V;Futuro;Normal;08022024;169;0,04;PETR4;475,34;9;10012024;2024-08-13
C;Futuro;Normal;10022024;222;0,04;BBAS3;490,23;9;10012024;2024-08-13
C;Futuro;Normal;04022024;387;0,09;VALE3;172,26;9;10012024;2024-08-13
V;Futuro;Normal;05022024;225;0,04;ABEV3;491,77;9;10012024;2024-08-13
V;Futuro;Normal;12022024;459;0,03;LREN3;179,44;9;10012024;2024-08-13
C;Futuro;Normal;10022024;307;0,09;VVAR3;216,51;9;10012024;2024-08-13
C;Futuro;Normal;07022024;340;0,02;JBSS3;327,34;9;10012024;2024-08-13
