cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;25022024;184;0,06;CIEL3;474,84;25;26012024;2024-08-13
C;Futuro;Normal;22022024;163;0,01;BBDC4;66,58;25;26012024;2024-08-13
C;Futuro;Normal;25022024;10;0,02;ITUB4;118,13;25;26012024;2024-08-13
V;Futuro;Normal;28022024;63;0,04;PETR4;71,37;25;26012024;2024-08-13
C;Futuro;Normal;24022024;7;0,08;CSNA3;199,65;25;26012024;2024-08-13
C;Futuro;Normal;28022024;175;0,03;BBAS3;201,96;25;26012024;2024-08-13
V;Futuro;Normal;22022024;374;0,05;MGLU3;257,46;25;26012024;2024-08-13
V;Futuro;Normal;28022024;104;0,09;ITUB4;230,63;25;26012024;2024-08-13
V;Futuro;Normal;01032024;8;0,02;BBAS3;118,37;25;26012024;2024-08-13
V;Futuro;Normal;29022024;306;0,08;JBSS3;436,62;25;26012024;2024-08-13
C;Futuro;Normal;23022024;187;0,08;B3SA3;77,61;25;26012024;2024-08-13
C;Futuro;Normal;20022024;487;0,04;SUZB3;76,36;25;26012024;2024-08-13
C;Futuro;Normal;29022024;237;0,02;RENT3;492,32;25;26012024;2024-08-13
C;Futuro;Normal;26022024;328;0,08;CSNA3;344,11;25;26012024;2024-08-13
V;Futuro;Normal;27022024;190;0,02;LREN3;322,48;25;26012024;2024-08-13
V;Futuro;Normal;22022024;175;0;BBDC4;388,9;25;26012024;2024-08-13
