cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;270,5;15022024;384;0,09;GGBR4;Normal;19;20012024;2024-08-13
C;Futuro;471,64;18022024;482;0,06;WEGE3;Normal;19;20012024;2024-08-13
V;Futuro;182,08;14022024;33;0,06;VVAR3;Normal;19;20012024;2024-08-13
V;Futuro;403,06;15022024;135;0;LREN3;Normal;19;20012024;2024-08-13
C;Futuro;338,84;18022024;200;0,04;BBDC4;Normal;19;20012024;2024-08-13
C;Futuro;382,53;17022024;454;0,07;CIEL3;Normal;19;20012024;2024-08-13
C;Futuro;213,48;19022024;381;0,07;CIEL3;Normal;19;20012024;2024-08-13
C;Futuro;197,47;23022024;388;0,01;VVAR3;Normal;19;20012024;2024-08-13
C;Futuro;113,05;24022024;129;0,03;VALE3;Normal;19;20012024;2024-08-13
V;Futuro;258,4;18022024;129;0,01;MGLU3;Normal;19;20012024;2024-08-13
V;Futuro;257,37;19022024;30;0,1;WEGE3;Normal;19;20012024;2024-08-13
V;Futuro;85,52;20022024;59;0,04;B3SA3;Normal;19;20012024;2024-08-13
V;Futuro;105,13;22022024;359;0,02;CSNA3;Normal;19;20012024;2024-08-13
C;Futuro;211,98;14022024;458;0,03;CIEL3;Normal;19;20012024;2024-08-13
