cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;05022024;251;0,05;ABEV3;99,31;7;08012024;2024-08-13
V;Futuro;Normal;12022024;166;0,04;ABEV3;403,03;7;08012024;2024-08-13
C;Futuro;Normal;07022024;152;0,03;RENT3;303,83;7;08012024;2024-08-13
V;Futuro;Normal;09022024;317;0,06;BBAS3;362,37;7;08012024;2024-08-13
V;Futuro;Normal;03022024;154;0,05;B3SA3;176,58;7;08012024;2024-08-13
V;Futuro;Normal;11022024;201;0,05;ENBR3;383,89;7;08012024;2024-08-13
C;Futuro;Normal;11022024;424;0,09;EGIE3;403,5;7;08012024;2024-08-13
C;Futuro;Normal;12022024;198;0,06;VVAR3;323,54;7;08012024;2024-08-13
C;Futuro;Normal;08022024;330;0,09;BBDC4;338,17;7;08012024;2024-08-13
C;Futuro;Normal;06022024;173;0,09;ITUB4;449,51;7;08012024;2024-08-13
