cv;merc;cotacao;vecto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
C;Futuro;118,83;20022024;444;0,05;LREN3;Normal;24;25012024;2024-08-13
V;Futuro;189,74;21022024;250;0;LREN3;Normal;24;25012024;2024-08-13
V;Futuro;429,51;26022024;128;0,08;CIEL3;Normal;24;25012024;2024-08-13
C;Futuro;188,16;20022024;369;0,07;ENBR3;Normal;24;25012024;2024-08-13
V;Futuro;332,84;29022024;114;0,01;ITUB4;Normal;24;25012024;2024-08-13
C;Futuro;452,87;28022024;302;0,09;BRFS3;Normal;24;25012024;2024-08-13
C;Futuro;236,9;24022024;174;0,05;JBSS3;Normal;24;25012024;2024-08-13
C;Futuro;233,25;29022024;305;0,06;SUZB3;Normal;24;25012024;2024-08-13
C;Futuro;243,33;26022024;437;0,06;RENT3;Normal;24;25012024;2024-08-13
V;Futuro;108,87;28022024;497;0,1;WEGE3;Normal;24;25012024;2024-08-13
V;Futuro;371,22;19022024;357;0,07;GGBR4;Normal;24;25012024;2024-08-13
C;Futuro;155,27;27022024;153;0,08;ABEV3;Normal;24;25012024;2024-08-13
C;Futuro;176,02;29022024;432;0,02;WEGE3;Normal;24;25012024;2024-08-13
V;Futuro;260,29;23022024;28;0,05;PETR4;Normal;24;25012024;2024-08-13
C;Futuro;358,58;29022024;188;0,06;SUZB3;Normal;24;25012024;2024-08-13
