cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;24022024;327;0,08;B3SA3;263,63;19;20012024;2024-08-13
C;Futuro;Normal;20022024;251;0,01;BBDC4;137,33;19;20012024;2024-08-13
V;Futuro;Normal;22022024;453;0,09;RENT3;206,37;19;20012024;2024-08-13
C;Futuro;Normal;18022024;337;0,08;PETR4;162,13;19;20012024;2024-08-13
V;Futuro;Normal;22022024;492;0,08;SUZB3;86,52;19;20012024;2024-08-13
C;Futuro;Normal;14022024;159;0,05;GGBR4;355,37;19;20012024;2024-08-13
C;Futuro;Normal;23022024;229;0,01;BRFS3;315,52;19;20012024;2024-08-13
C;Futuro;Normal;20022024;140;0,02;CIEL3;376,71;19;20012024;2024-08-13
C;Futuro;Normal;18022024;430;0,09;CSNA3;119,73;19;20012024;2024-08-13
V;Futuro;Normal;16022024;470;0,05;JBSS3;280,22;19;20012024;2024-08-13
C;Futuro;Normal;23022024;61;0,02;VALE3;305,49;19;20012024;2024-08-13
C;Futuro;Normal;19022024;52;0,08;CSNA3;425,76;19;20012024;2024-08-13
V;Futuro;Normal;14022024;80;0,09;ABEV3;283,78;19;20012024;2024-08-13
V;Futuro;Normal;17022024;328;0,02;BRFS3;493,87;19;20012024;2024-08-13
V;Futuro;Normal;17022024;335;0,02;GGBR4;486,18;19;20012024;2024-08-13
V;Futuro;Normal;14022024;221;0,1;EGIE3;92,53;19;20012024;2024-08-13
