cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
C;Futuro;Normal;12022024;47;0,03;ITUB4;389,41;11;12012024;2024-08-13
C;Futuro;Normal;09022024;412;0,02;PETR4;169,37;11;12012024;2024-08-13
C;Futuro;Normal;15022024;281;0,05;PETR4;83,64;11;12012024;2024-08-13
C;Futuro;Normal;15022024;148;0,02;ABEV3;311,8;11;12012024;2024-08-13
C;Futuro;Normal;15022024;16;0,01;MGLU3;450,56;11;12012024;2024-08-13
C;Futuro;Normal;16022024;75;0,04;ABEV3;292,82;11;12012024;2024-08-13
V;Futuro;Normal;08022024;438;0,06;PETR4;331,04;11;12012024;2024-08-13
C;Futuro;Normal;14022024;427;0,08;ENBR3;150,96;11;12012024;2024-08-13
V;Futuro;Normal;08022024;470;0,05;VALE3;391,62;11;12012024;2024-08-13
C;Futuro;Normal;16022024;193;0,03;B3SA3;309,68;11;12012024;2024-08-13
V;Futuro;Normal;15022024;187;0,09;GGBR4;205,01;11;12012024;2024-08-13
V;Futuro;Normal;12022024;446;0,04;ITUB4;270,43;11;12012024;2024-08-13
C;Futuro;Normal;12022024;55;0,07;ITUB4;260,75;11;12012024;2024-08-13
C;Futuro;Normal;13022024;433;0,04;VVAR3;146,55;11;12012024;2024-08-13
V;Futuro;Normal;13022024;333;0,04;GGBR4;469,12;11;12012024;2024-08-13
V;Futuro;Normal;16022024;414;0,01;EGIE3;392,33;11;12012024;2024-08-13
